munich_year,global_year,city,munich_avg_temp,global_avg_temp
1750,1750,Munich,5.40,8.72
1751,1751,Munich,5.54,7.98
1752,1752,Munich,0.53,5.78
1753,1753,Munich,4.61,8.39
1754,1754,Munich,4.33,8.47
1755,1755,Munich,4.05,8.36
1756,1756,Munich,4.64,8.85
1757,1757,Munich,4.30,9.02
1758,1758,Munich,3.83,6.74
1759,1759,Munich,4.89,7.99
1760,1760,Munich,5.02,7.19
1761,1761,Munich,4.94,8.77
1762,1762,Munich,4.49,8.61
1763,1763,Munich,4.25,7.50
1764,1764,Munich,4.82,8.40
1765,1765,Munich,4.52,8.25
1766,1766,Munich,4.28,8.41
1767,1767,Munich,3.85,8.22
1768,1768,Munich,3.84,6.78
1769,1769,Munich,4.43,7.69
1770,1770,Munich,4.36,7.69
1771,1771,Munich,4.19,7.85
1772,1772,Munich,5.81,8.19
1773,1773,Munich,4.76,8.22
1774,1774,Munich,4.43,8.77
1775,1775,Munich,5.03,9.18
1776,1776,Munich,4.21,8.30
1777,1777,Munich,4.28,8.26
1778,1778,Munich,5.21,8.54
1779,1779,Munich,5.53,8.98
1780,1780,Munich,4.71,9.43
1781,1781,Munich,5.48,8.10
1782,1782,Munich,3.96,7.90
1783,1783,Munich,5.22,7.68
1784,1784,Munich,3.67,7.86
1785,1785,Munich,3.35,7.36
1786,1786,Munich,3.71,8.26
1787,1787,Munich,4.83,8.03
1788,1788,Munich,4.69,8.45
1789,1789,Munich,4.26,8.33
1790,1790,Munich,4.91,7.98
1791,1791,Munich,5.09,8.23
1792,1792,Munich,4.77,8.09
1793,1793,Munich,5.06,8.23
1794,1794,Munich,5.54,8.53
1795,1795,Munich,4.59,8.35
1796,1796,Munich,4.65,8.27
1797,1797,Munich,5.55,8.51
1798,1798,Munich,4.81,8.67
1799,1799,Munich,3.26,8.51
1800,1800,Munich,5.02,8.48
1801,1801,Munich,5.31,8.59
1802,1802,Munich,5.07,8.58
1803,1803,Munich,4.20,8.50
1804,1804,Munich,4.80,8.84
1805,1805,Munich,3.09,8.56
1806,1806,Munich,5.40,8.43
1807,1807,Munich,5.05,8.28
1808,1808,Munich,3.58,7.63
1809,1809,Munich,4.61,7.08
1810,1810,Munich,4.72,6.92
1811,1811,Munich,5.70,6.86
1812,1812,Munich,3.39,7.05
1813,1813,Munich,3.87,7.74
1814,1814,Munich,3.46,7.59
1815,1815,Munich,4.01,7.24
1816,1816,Munich,2.96,6.94
1817,1817,Munich,4.21,6.98
1818,1818,Munich,4.66,7.83
1819,1819,Munich,4.97,7.37
1820,1820,Munich,3.88,7.62
1821,1821,Munich,4.59,8.09
1822,1822,Munich,5.85,8.19
1823,1823,Munich,4.22,7.72
1824,1824,Munich,4.89,8.55
1825,1825,Munich,5.07,8.39
1826,1826,Munich,4.81,8.36
1827,1827,Munich,4.71,8.81
1828,1828,Munich,5.02,8.17
1829,1829,Munich,2.79,7.94
1830,1830,Munich,3.90,8.52
1831,1831,Munich,4.82,7.64
1832,1832,Munich,4.25,7.45
1833,1833,Munich,4.45,8.01
1834,1834,Munich,5.72,8.15
1835,1835,Munich,4.07,7.39
1836,1836,Munich,4.40,7.70
1837,1837,Munich,3.68,7.38
1838,1838,Munich,3.29,7.51
1839,1839,Munich,4.66,7.63
1840,1840,Munich,3.66,7.80
1841,1841,Munich,5.16,7.69
1842,1842,Munich,4.09,8.02
1843,1843,Munich,4.48,8.17
1844,1844,Munich,4.03,7.65
1845,1845,Munich,3.73,7.85
1846,1846,Munich,5.54,8.55
1847,1847,Munich,3.90,8.09
1848,1848,Munich,4.61,7.98
1849,1849,Munich,4.37,7.98
1850,1850,Munich,3.84,7.90
1851,1851,Munich,3.66,8.18
1852,1852,Munich,5.02,8.10
1853,1853,Munich,3.69,8.04
1854,1854,Munich,4.08,8.21
1855,1855,Munich,3.52,8.11
1856,1856,Munich,4.30,8.00
1857,1857,Munich,4.41,7.76
1858,1858,Munich,3.63,8.10
1859,1859,Munich,5.07,8.25
1860,1860,Munich,3.41,7.96
1861,1861,Munich,4.62,7.85
1862,1862,Munich,5.39,7.56
1863,1863,Munich,5.35,8.11
1864,1864,Munich,3.26,7.98
1865,1865,Munich,4.75,8.18
1866,1866,Munich,5.01,8.29
1867,1867,Munich,4.44,8.44
1868,1868,Munich,5.54,8.25
1869,1869,Munich,4.69,8.43
1870,1870,Munich,3.57,8.20
1871,1871,Munich,3.53,8.12
1872,1872,Munich,5.51,8.19
1873,1873,Munich,4.77,8.35
1874,1874,Munich,4.18,8.43
1875,1875,Munich,3.96,7.86
1876,1876,Munich,4.64,8.08
1877,1877,Munich,4.79,8.54
1878,1878,Munich,4.26,8.83
1879,1879,Munich,3.53,8.17
1880,1880,Munich,4.74,8.12
1881,1881,Munich,4.24,8.27
1882,1882,Munich,4.58,8.13
1883,1883,Munich,4.16,7.98
1884,1884,Munich,4.67,7.77
1885,1885,Munich,4.47,7.92
1886,1886,Munich,4.61,7.95
1887,1887,Munich,3.41,7.91
1888,1888,Munich,3.69,8.09
1889,1889,Munich,3.72,8.32
1890,1890,Munich,3.67,7.97
1891,1891,Munich,3.70,8.02
1892,1892,Munich,4.45,8.07
1893,1893,Munich,4.44,8.06
1894,1894,Munich,4.52,8.16
1895,1895,Munich,4.00,8.15
1896,1896,Munich,3.84,8.21
1897,1897,Munich,4.67,8.29
1898,1898,Munich,5.13,8.18
1899,1899,Munich,4.72,8.40
1900,1900,Munich,5.00,8.50
1901,1901,Munich,4.01,8.54
1902,1902,Munich,4.24,8.30
1903,1903,Munich,4.57,8.22
1904,1904,Munich,5.07,8.09
1905,1905,Munich,4.31,8.23
1906,1906,Munich,4.48,8.38
1907,1907,Munich,4.38,7.95
1908,1908,Munich,3.98,8.19
1909,1909,Munich,3.75,8.18
1910,1910,Munich,4.47,8.22
1911,1911,Munich,5.22,8.18
1912,1912,Munich,4.13,8.17
1913,1913,Munich,4.66,8.30
1914,1914,Munich,4.43,8.59
1915,1915,Munich,4.39,8.59
1916,1916,Munich,4.90,8.23
1917,1917,Munich,3.91,8.02
1918,1918,Munich,4.75,8.13
1919,1919,Munich,3.85,8.38
1920,1920,Munich,5.29,8.36
1921,1921,Munich,5.48,8.57
1922,1922,Munich,3.93,8.41
1923,1923,Munich,4.88,8.42
1924,1924,Munich,4.11,8.51
1925,1925,Munich,4.42,8.53
1926,1926,Munich,5.11,8.73
1927,1927,Munich,4.86,8.52
1928,1928,Munich,5.19,8.63
1929,1929,Munich,4.13,8.24
1930,1930,Munich,5.24,8.63
1931,1931,Munich,3.88,8.72
1932,1932,Munich,4.61,8.71
1933,1933,Munich,3.88,8.34
1934,1934,Munich,5.59,8.63
1935,1935,Munich,4.57,8.52
1936,1936,Munich,4.88,8.55
1937,1937,Munich,5.20,8.70
1938,1938,Munich,4.82,8.86
1939,1939,Munich,4.49,8.76
1940,1940,Munich,3.45,8.76
1941,1941,Munich,3.80,8.77
1942,1942,Munich,4.28,8.73
1943,1943,Munich,5.56,8.76
1944,1944,Munich,4.28,8.85
1945,1945,Munich,5.20,8.58
1946,1946,Munich,5.14,8.68
1947,1947,Munich,5.51,8.80
1948,1948,Munich,5.49,8.75
1949,1949,Munich,5.55,8.59
1950,1950,Munich,5.44,8.37
1951,1951,Munich,5.29,8.63
1952,1952,Munich,4.67,8.64
1953,1953,Munich,5.22,8.87
1954,1954,Munich,4.27,8.56
1955,1955,Munich,4.39,8.63
1956,1956,Munich,3.58,8.28
1957,1957,Munich,5.11,8.73
1958,1958,Munich,4.93,8.77
1959,1959,Munich,5.51,8.73
1960,1960,Munich,4.97,8.58
1961,1961,Munich,5.85,8.80
1962,1962,Munich,3.94,8.75
1963,1963,Munich,3.99,8.86
1964,1964,Munich,4.92,8.41
1965,1965,Munich,4.08,8.53
1966,1966,Munich,5.10,8.60
1967,1967,Munich,5.18,8.70
1968,1968,Munich,4.68,8.52
1969,1969,Munich,4.42,8.60
1970,1970,Munich,4.41,8.70
1971,1971,Munich,4.86,8.60
1972,1972,Munich,4.69,8.50
1973,1973,Munich,4.57,8.95
1974,1974,Munich,5.23,8.47
1975,1975,Munich,5.20,8.74
1976,1976,Munich,4.95,8.35
1977,1977,Munich,5.32,8.85
1978,1978,Munich,4.32,8.69
1979,1979,Munich,4.87,8.73
1980,1980,Munich,4.19,8.98
1981,1981,Munich,4.82,9.17
1982,1982,Munich,5.51,8.64
1983,1983,Munich,5.60,9.03
1984,1984,Munich,4.43,8.69
1985,1985,Munich,4.52,8.66
1986,1986,Munich,4.85,8.83
1987,1987,Munich,4.69,8.99
1988,1988,Munich,5.64,9.20
1989,1989,Munich,5.88,8.92
1990,1990,Munich,5.92,9.23
1991,1991,Munich,4.93,9.18
1992,1992,Munich,5.91,8.84
1993,1993,Munich,5.33,8.87
1994,1994,Munich,6.64,9.04
1995,1995,Munich,5.33,9.35
1996,1996,Munich,4.49,9.04
1997,1997,Munich,5.79,9.20
1998,1998,Munich,5.66,9.52
1999,1999,Munich,5.55,9.29
2000,2000,Munich,6.33,9.20
2001,2001,Munich,5.59,9.41
2002,2002,Munich,6.26,9.57
2003,2003,Munich,6.12,9.53
2004,2004,Munich,5.43,9.32
2005,2005,Munich,5.01,9.70
2006,2006,Munich,5.94,9.53
2007,2007,Munich,6.28,9.73
2008,2008,Munich,5.94,9.43
2009,2009,Munich,5.89,9.51
2010,2010,Munich,4.85,9.70
2011,2011,Munich,6.56,9.52
2012,2012,Munich,5.88,9.51
2013,2013,Munich,6.00,9.61
